sample,aligned_id,sequence,variant,target_ncc,target_mi,target_edge_distance,target_valid_ratio,raw_rgb_ncc,raw_rgb_mi,raw_rgb_edge_distance,valid_ratio,fusion_entropy_gain_vs_raw_rgb,fusion_alpha_coverage,teacher_shift_dx,teacher_shift_dy,affine_reason,affine_matrix,local_flow_reason,local_flow_sign
103_seq385,103,385,baseline_plane_opt,0.3648748993873596,0.49268743856707126,3.9272403717041016,0.8336512586805556,0.3666345179080963,0.1855580068295201,2.882617473602295,0.8336512586805556,1.3919407399793107,0.008511284722222222,0,0,,,,
103_seq385,103,385,oracle_teacher_shift,0.3928092420101166,0.5017593058936234,3.639286994934082,0.8261642795138889,0.2775160074234009,0.137990066572948,1.215662956237793,0.8261642795138889,1.3936974252769114,0.008734809027777778,-12,-11,,,,
103_seq385,103,385,oracle_teacher_affine,0.3648748993873596,0.49268743856707126,3.9272403717041016,0.8336512586805556,0.3666345179080963,0.1855580068295201,2.882617473602295,0.8336512586805556,1.3919407399793107,0.008511284722222222,,,no_ecc_affine_improvement;ecc_direct:corner_shift_too_large:200.86|ecc_inverse:corner_shift_too_large:229.37,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]",,
103_seq385,103,385,oracle_teacher_local_flow,0.45474910736083984,0.5263730624743359,3.5090279579162598,0.8160134548611111,0.40611690282821655,0.1876226685086471,1.238092064857483,0.8160134548611111,1.3925002297916018,0.008429904513888888,,,,,local_flow,-1.0
104_seq386,104,386,baseline_plane_opt,0.16870535910129547,0.5649333951669814,5.748115062713623,0.8336512586805556,0.18424658477306366,0.15803833532186604,2.2679288387298584,0.8336512586805556,1.387080150630561,0.008340928819444444,0,0,,,,
104_seq386,104,386,oracle_teacher_shift,0.183513805270195,0.5557647241257361,4.954404830932617,0.8274772135416667,0.08528247475624084,0.19956250749691568,3.6732068061828613,0.8274772135416667,1.3837102609392735,0.008221571180555555,8,7,,,,
104_seq386,104,386,oracle_teacher_affine,0.16870535910129547,0.5649333951669814,5.748115062713623,0.8336512586805556,0.18424658477306366,0.15803833532186604,2.2679288387298584,0.8336512586805556,1.387080150630561,0.008340928819444444,,,no_ecc_affine_improvement,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]",,
104_seq386,104,386,oracle_teacher_local_flow,0.31358134746551514,0.5594434848552253,4.365309715270996,0.807626953125,0.30673080682754517,0.13130471240639308,1.590783715248108,0.807626953125,1.3890755132355292,0.008581814236111112,,,,,local_flow,-1.0
106_seq388,106,388,baseline_plane_opt,0.25352102518081665,0.5588456821039698,6.602059364318848,0.8336512586805556,0.23875899612903595,0.21212317810590683,1.4213368892669678,0.8336512586805556,1.3782713729161014,0.009141710069444444,0,0,,,,
106_seq388,106,388,oracle_teacher_shift,0.25441572070121765,0.5631632002043664,5.995294570922852,0.831181640625,0.22704391181468964,0.21837021935834827,1.715624213218689,0.831181640625,1.377090934608248,0.009058159722222223,2,2,,,,
106_seq388,106,388,oracle_teacher_affine,0.25352102518081665,0.5588456821039698,6.602059364318848,0.8336512586805556,0.23875899612903595,0.21212317810590683,1.4213368892669678,0.8336512586805556,1.3782713729161014,0.009141710069444444,,,no_ecc_affine_improvement;ecc_direct:corner_shift_too_large:295.34|ecc_inverse:corner_shift_too_large:334.20,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]",,
106_seq388,106,388,oracle_teacher_local_flow,0.33257946372032166,0.5998344225571351,5.362043380737305,0.8154926215277778,-0.14211805164813995,0.22300428845788955,3.7231831550598145,0.8154926215277778,1.3750633626147084,0.008982204861111112,,,,,local_flow,-1.0
